"TARCODIGO","TARSALDOS","TARFECHA"
"2008258","0","20181022182553"
"2009269","0","20181022182553"
"2009190","0","20181022182553"
"2006248","0","20181022182553"
"2016070","0","20181022182553"
"2016051","0","20181022182553"
"2014034","0","20181022182553"
"2005033","0","20181022182553"
"2011326","0","20181022182553"
"2016133","0","20181022182553"
"2011048","0","20181022182553"
"2011226","0","20181022182553"
"2014004","0","20181022182553"
"2013027","0","20181022182553"
"2013125","0","20181022182553"
"2008032","0","20181022182553"
"2016150","0","20181022182553"
"2016151","0","20181022182553"
"2005032","0","20181022182553"
"2006218","0","20181022182553"
"2004067","0","20181022182553"
"2015002","0","20181022182553"
"2011036","47.44","20181022182553"
"2015007","0","20181022182553"
"2017165","51.79","20181022182553"
"2010152","0","20181022182553"
"2017168","0","20181022182553"
"2013154","0","20181022182553"
"2009206","0","20181022182553"
"2010177","146.72","20181022182553"
"2007043","0","20181022182553"
"2009090","0","20181022182553"
"2011237","0","20181022182553"
"2011273","0","20181022182553"
"2009251","0","20181022182553"
"2012322","0","20181022182553"
"2010020","0","20181022182553"
"2009277","0","20181022182553"
"2011166","0","20181022182553"
"2008277","0","20181022182553"
"2015149","0","20181022182553"
"2015148","0","20181022182553"
"2008167","0","20181022182553"
"2013095","0","20181022182553"
"2010281","0","20181022182553"
"2015128","0","20181022182553"
"2011177","0","20181022182553"
"2012034","0","20181022182553"
"2010051","0","20181022182553"
"2011234","0","20181022182553"
"2005222","0","20181022182553"
"2007172","0","20181022182553"
"2011220","95.73","20181022182553"
"2011217","0","20181022182553"
"2016095","0","20181022182553"
"2010240","0","20181022182553"
"2016055","0","20181022182553"
"2008042","0","20181022182553"
"2008069","0","20181022182553"
"2015016","0","20181022182553"
"2015015","0","20181022182553"
"2009223","53.88","20181022182553"
"2011247","0","20181022182553"
"2005111","0","20181022182553"
"2012329","0","20181022182553"
"2010246","0","20181022182553"
"2011224","0","20181022182553"
"2016045","0","20181022182553"
"2012332","0","20181022182553"
"2012333","0","20181022182553"
"2012061","0","20181022182553"
"2011106","0","20181022182553"
"2004113","0","20181022182553"
"2012272","0","20181022182553"
"2006240","0","20181022182553"
"2013022","0","20181022182553"
"2017166","0","20181022182553"
"2010113","0","20181022182553"
"2012297","0","20181022182553"
"2008267","26.77","20181022182553"
"2008138","0","20181022182553"
"2006208","0","20181022182553"
"2012071","0","20181022182553"
"2013114","0","20181022182553"
"2002089","0","20181022182553"
"2009188","0","20181022182553"
"2017157","0","20181022182553"
"2017158","0","20181022182553"
"2007193","0","20181022182553"
"2007189","0","20181022182553"
"2016011","0","20181022182553"
"2006221","0","20181022182553"
"2005191","0","20181022182553"
"2013111","0","20181022182553"
"2009283","0","20181022182553"
"2013115","0","20181022182553"
"2007187","0","20181022182553"
"2016004","0","20181022182553"
"2016152","0","20181022182553"
"2016154","0","20181022182553"
"2016153","0","20181022182553"
"2011324","0","20181022182553"
"2011323","0","20181022182553"
"2014035","16.8","20181022182553"
"2003077","0","20181022182553"
"2013112","0","20181022182553"
"2015081","0","20181022182553"
"2013020","0","20181022182553"
"2012032","0","20181022182553"
"2010141","0","20181022182553"
"2013132","0","20181022182553"
"2010135","0","20181022182553"
"2017122","0","20181022182553"
"2017121","0","20181022182553"
"2013019","0","20181022182553"
"2013120","0","20181022182553"
"2009002","0","20181022182553"
"2009288","0","20181022182553"
"2010202","0","20181022182553"
"2008223","0","20181022182553"
"2009263","0","20181022182553"
"2007098","0","20181022182553"
"2013074","0","20181022182553"
"2013018","0","20181022182553"
"2009256","0","20181022182553"
"2010276","40.17","20181022182553"
"2013141","0","20181022182553"
"2011103","0","20181022182553"
"2009130","0","20181022182553"
"2016005","0","20181022182553"
"2010205","0","20181022182553"
"2008001","0","20181022182553"
"2016041","0","20181022182553"
"2005128","0","20181022182553"
"2013017","0","20181022182553"
"2013036","0","20181022182553"
"2013035","0","20181022182553"
"2007042","0","20181022182553"
"2011267","0","20181022182553"
"2013159","0","20181022182553"
"2010093","0","20181022182553"
"2012028","0","20181022182553"
"2009300","0","20181022182553"
"2015013","0","20181022182553"
"2007188","0","20181022182553"
"2009146","0","20181022182553"
"2011253","0","20181022182553"
"2009284","0","20181022182553"
"2012348","0","20181022182553"
"2010270","0","20181022182553"
"2005183","0","20181022182553"
"2010231","0","20181022182553"
"2011200","0","20181022182553"
"2013134","0","20181022182553"
"2004057","0","20181022182553"
"2011041","0","20181022182553"
"2004062","0","20181022182553"
"2004061","0","20181022182553"
"2007036","0","20181022182553"
"2009205","0","20181022182553"
"2009048","0","20181022182553"
"2017150","0","20181022182553"
"2017151","0","20181022182553"
"2010187","22.79","20181022182553"
"2016075","0","20181022182553"
"2016088","0","20181022182553"
"2010272","0","20181022182553"
"2005031","245.44","20181022182553"
"2010125","0","20181022182553"
"2012277","0","20181022182553"
"2011329","0","20181022182553"
"2014031","0","20181022182553"
"2013126","0","20181022182553"
"2012058","0","20181022182553"
"2012057","0","20181022182553"
"2011164","0","20181022182553"
"2013171","0","20181022182553"
"2005036","0","20181022182553"
"2009281","0","20181022182553"
"2009299","0","20181022182553"
"2010001","0","20181022182553"
"2011248","0","20181022182553"
"2015076","0","20181022182553"
"2010222","0","20181022182553"
"2012323","0","20181022182553"
"2013005","0","20181022182553"
"2012250","0","20181022182553"
"2017068","0","20181022182553"
"2010162","0","20181022182553"
